Comment,Compound,Positive,Neutral,Negative
The WiFi at my airbnb is really bad so I’m headed to a McDonald’s or Starbucks and will start uploading soon!,-0.623,0.0,0.823,0.177
What if we rent an Airbnb and throw a big graduation party for ourselves since we have nothing else. At the start of the party we have someone read off all of our names and hand us a rolled up paper,0.8225,0.193,0.807,0.0
Rich Insurance companies should be paying out for these cancellations not the hosts,0.5574,0.231,0.769,0.0
I’ve lost thousands of dollars today and yesterday as admin cancelled all my bookings giving full refunds. No consideration for hosts and their mortgage payments. All about the guests,-0.4767,0.071,0.737,0.192
"Why is @Airbnb making hosts give guests 100% refund on cancellation (which is understandable considering circumstances), but not refunding service fee. Keeping 100% of their money and letting hosts give refund 100% . Not a shared economy corporate greed, disgusting",-0.8935,0.0,0.766,0.234
A quick note for the future should the world ever return to normal. @Airbnb has immediately refunded all bookings for spring break dates we had to cancel because of Covid 19 travel ban. @vrbo host has told us to stuff it and we will have to eat our London booking.,-0.6808,0.0,0.894,0.106
If you own Airbnb’s Take toilet paper off your amenities in case your cleaner can’t get any.... Airbnb can refund guest 15% per amenity missing,-0.128,0.063,0.855,0.082
I’m not NOT sick therefore I’m not getting on a plane to go home anytime soon. Being responsible is sexy. The good news is Tom Hanks is doing fine. Hope everyone else is good. K ima write a song about it now from dis cute Airbnb in Nashville,0.9427,0.328,0.633,0.039
One upside of this whole thing: all the AirBnB units in our condo building are completely devoid of obnoxious tourists. ,-0.5046,0.0,0.853,0.147
Airbnb Thesis: - Great biz model - Short-term cashflows will be poor due to corona + several lawsuits (will deter buyers) - Employee stock options start expiring in Nov so they may be forced to IPO (even though they’d rather wait to have better cashflows) Could be a buying opp,0.0772,0.128,0.731,0.141
does anyone know anyone at AirBNB? i'd like to list the spare bedroom in my apartment for free for any travelers stranded in the Bay Area by a travel ban.,0.296,0.164,0.734,0.102
"i want to get an insanely beautiful airbnb with my friends for a few days and make a cute, candid, short film on an old ass camera of our little vacation",0.7783,0.299,0.608,0.093
"""Casa Blue does exactly what an Airbnb should do: Temporarily trick you into thinking you lead an entirely different life."" ",-0.0516,0.0,0.941,0.059
Seems like a reasonable time for @Airbnb to pause push notifications.. ,0.3612,0.217,0.783,0.0
Airbnb’s Extenuating Circumstances policy has been extended globally so hosts and guests can cancel eligible reservations with no charge. We're in this together and your wellbeing is our priority. ,-0.4939,0.0,0.865,0.135
"This is Nana, she is living in Brindleton Bay. She gets lost in a good book on weekends while listening to indie music. She's a travel agent, an excellent gardener, and values alone time. When she is not home, she rents her place as an airbnb. #showusyoursims #thesims4",0.7184,0.17,0.751,0.079
"all my friends flew into Cleveland for the modsun show, but it was cancelled, so now we’re all hammered in an Airbnb in the middle of CLE blaring @machinegunkelly through the surround sound. the neighbors might hate us honestly.",-0.3612,0.124,0.72,0.155
This airbnb lit af ,0.0,0.0,1.0,0.0
Get out of the damp fog and go back to your Airbnb. Pilot season is on hold!!!!,0.0,0.0,1.0,0.0
"Airbnb is in such a tough spot. Frustration among hosts and guests has been building all month, to the point where they had to do a blog post explaining how marketplace business models work https://news.airbnb.com/airbnb-a-people-to-people-marketplace/",-0.5574,0.0,0.871,0.129
"Good move. Full refund from @Airbnb due to circumstance for our tahoe rental. Team player, we won’t forget.",0.25,0.139,0.769,0.091
"Microsoft deserves the first mover award here, but I’m proud all the same. “Airbnb tells Bay Area employees to work from home for the next 2 weeks due to coronavirus concerns and says it will continue to pay hourly workers.” ",0.7003,0.145,0.818,0.036
Last stop on the way to the airport: the old Lower Shotover Bridge. My Airbnb was in the neighborhood behind the houses you see at the beginning of the video. Video ends on The Remarkables mountain range. – at Old Shotover Bridge,-0.5267,0.0,0.899,0.101
"holy fuck i paid airbnb $186 for the first half of this unit for the chicago concert, and they told me my refund was only gonna be like $41 .... UHHHH $225 ???? pic.twitter.com/lXhHqvb0FA",-0.4515,0.066,0.817,0.117
Julie Mehretu also gave $15k … how about it @Airbnb? I’m serious.,-0.0772,0.0,0.885,0.115
"Never heard of your company before today. But I can guarantee that I will NEVER use your service. @airbnb, @vrbo , and other services are being quite flexible at the moment. Those are the places that people should give their money to; definitely not you.",0.8334,0.185,0.815,0.0
"Today I was on hold with Delta for 4hrs to get flight refunds; organized my finances; applied to 3 jobs; got an Airbnb refund; rewrote my cover letter; made my scary to-do list; tried to call Navient (oops, Sat.); texted family about COVID-19; flirted; did not clean my room.",-0.6866,0.0,0.869,0.131
So @Airbnb is keeping their service fee but forcing hosts who have strict policy’s a full refund?! ,0.0,0.0,1.0,0.0
Shout out to @Airbnb for making the cancellation &amp; refund process amid the #coronavirus outbreak quick &amp; easy. I was battling with whether or not to go to Austin next weekend despite SXSW cancellation to support local businesses. But this tweet made clear what we needed to do...,0.6858,0.139,0.831,0.03
Does anyone wanna get a lil Airbnb for 14 days? like 20 of us who are not high risk &amp; we all just get locked &amp; watch movies &amp; cook pasta &amp; try not to die of COVID &amp; none of us are lonely? Like the Hype House but instead of making TikToks we make bad decisions?,-0.4696,0.117,0.781,0.102
actually could all chip in on an airbnb,0.0,0.0,1.0,0.0
"Hey Navrina, we just rolled out this global policy this morning.",0.0,0.0,1.0,0.0
"What you're actually doing is trying to do the right thing by announcing this, but you're not able to enforce it.. as many here have stated, the hosts are not honoring your new cancellation policy. zero-50% is the normal refund seen",-0.5504,0.0,0.918,0.082
"Thank you for doing the right thing. While this may hurt your revenue in the short-term, I -- and millions of others like me -- are now more inclined to continue using AirBNB for future trips. You've done the right thing, so please pass that sentiment along to your Execs. :)",0.7644,0.185,0.758,0.057
Right. Who’s up for renting a massive 30 bedroom airbnb in the middle of nowhere &amp; riding this thing out together? I’ll bring the marshmallows.,0.0,0.0,1.0,0.0
"If you're an Airbnb host and you provide shampoo and conditioner, you already get 4 stars in my book. 90% chance you get 5 stars ",0.25,0.083,0.917,0.0
my story on how this is affecting Airbnb hosts and guests: https://www.nytimes.com/2020/03/10/technology/airbnb-hosts-coronavirus.html And WSJ had a good story with data showing the hit to Airbnb's business: ,0.4404,0.108,0.892,0.0
"Hi all, thank you so much for helping. I manage to find a Airbnb flat for a week.",0.6077,0.276,0.724,0.0
I just had a wedding postponed and AirBnB and Spirit Airlines both gave me full refunds due the Corana bless,0.4019,0.211,0.704,0.085
Airbnb hosts worried about business lost because of coronavirus http://bit.ly/2vl81t4 #Toronto #Ontario #Canada #Airbnb #Coronavirus #COVID19 #COVID19Toronto,-0.5423,0.0,0.769,0.231
"2mos ago I was a digital nomad living off Airbnb &amp; Uber Eats, with few supplies I'm relieved I prioritized mental &amp; physical stability before the pandemic broke but many still don't have a home base Let's look out for travelers who won't make it home. DM if you need help in SF",0.5346,0.1,0.864,0.036
Would love to see #boycottVRBO trending. #VRBO needs to update their policy like Airbnb did to include a contingency for #Covid19 related cancellations. This is out of our control. Do the right thing @vrbo.,0.7717,0.178,0.822,0.0
"Ha, the Airbnb host refused a full refund, because “it might be fine next month”. Sure Karen, the global pandemic with rising death toll will probably just vanish overnight. ",-0.1531,0.183,0.646,0.171
"Hey @Airbnb — you’re currently overriding hosts’ cancellation policies, where they lose everything, but you’re keeping your service fee? Absolutely disgusting. ",-0.7839,0.0,0.723,0.277
Literally no update from @Uber_Support and my phone has been off ever since I got off my uber. Like 100% sure they stole it by now. Also corona virus and LA has destroyed our airbnb business that I kinda rely on. WELP TIME TO WORK AT MCDONALDS,-0.0112,0.103,0.792,0.104
"I found some weed in a drawer at my Airbnb. Even though i am not leaving my house, today may be my lucky day!",0.4753,0.134,0.866,0.0
Published a while back but I found a bit of background to #Airbnb decision to move from #reactnative but a lot can change in 2 years!! #programming #mobile #100DaysOfCode #WomenWhoCode #GirlsWhoCode,0.0,0.0,1.0,0.0
